state,date,tweet_id,subj,pol,covidCases,employment,outside,creditcardSpend,stayathome_start,day-14,day-13,day-12,day-11,day-10,day-9,day-8,day-7,day-6,day-5,day-4,day-3,day-2,day-1,day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
AK,2020-02-24,1232042184091697152,0.9,0.6,0,-0.0152,-0.0005780000000000001,-0.00915,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-02-25,1232385398652863744,0.5238095238095238,0.007936507936507927,0,-0.015,0.00221,0.00625,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-02-26,1232684350970541568,0.4014285714285714,-0.18285714285714288,0,-0.0147,0.00541,-0.0278,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-02-27,1232992413063010304,0.5041666666666668,-0.15138888888888888,0,-0.0143,0.00685,-0.0194,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-02-28,1233345623955596544,0.19294733044733045,0.1300937950937951,0,-0.0139,0.009609999999999999,-0.0365,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-02-29,1233750776190672896,0.6571924603174604,-0.07495039682539684,0,-0.0134,0.0121,-0.0331,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-01,1234013398496083968,0.43,-0.1,0,-0.0128,0.0121,-0.0656,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-02,1234434326799178496,0.0,0.0,0,-0.0119,0.0121,-0.0709,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-03,1234852132289674752,0.29855442176870745,0.06590136054421768,0,-0.0108,0.0121,-0.0248,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-04,1235171102682378240,0.21666666666666667,0.125,0,-0.0092,0.0121,-0.0138,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-05,1235488028296289024,0.2197278911564626,0.058418367346938775,0,-0.007120000000000001,0.0107,0.00835,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-06,1235909485030277888,0.35967261904761905,0.07092261904761905,0,-0.0046,0.006529999999999999,0.0372,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-07,1236223303927449344,0.3281051587301588,0.03616536458333334,0,-0.00143,0.00403,0.0386,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-08,1236584553642240768,0.3046875000000001,0.021874999999999995,0,0.0022199999999999998,0.00403,0.0431,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-09,1236996442649333760,0.4174242424242424,0.11401515151515153,0,0.006,0.000643,0.0318,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-10,1237376971105679360,0.3116959064327485,0.15657894736842107,0,0.009559999999999999,-0.00215,-0.00372,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-11,1237723740203367424,0.30595238095238103,0.05412382756132757,0,0.0124,-0.00535,-0.0251,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-12,1238051685088649728,0.4075320512820513,0.02560096153846153,1,0.0142,-0.00822,0.0274,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-13,1238365783874577408,0.4067330447330448,0.09244300144300144,1,0.0144,-0.011000000000000001,0.0336,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-14,1238827233193081088,0.2620370370370371,-0.0919753086419753,1,0.0127,-0.016,0.0177,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK,2020-03-15,1239128006523165696,0.3717787114845939,0.015980975723622778,1,0.00881,-0.0189,0.0244,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AK,2020-03-16,1239519969073325824,0.4092657342657343,0.104020979020979,3,0.00297,-0.0223,0.0517,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK,2020-03-17,1239902249548830464,0.18674603174603172,0.07674603174603177,6,-0.00456,-0.0293,0.0362,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK,2020-03-18,1240205399437289216,0.5206879721585603,0.11471277905101432,9,-0.0135,-0.0405,0.0175,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AK,2020-03-19,1240610511344931584,0.16981922398589064,0.02522045855379189,12,-0.0236,-0.052000000000000005,-0.0311,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AK,2020-03-20,1241003807281382912,0.21037037037037035,0.1074074074074074,14,-0.0344,-0.0644,-0.0489,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AK,2020-03-21,1241317605441896704,0.2803240740740741,0.16605902777777778,21,-0.0456,-0.0819,-0.0716,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AK,2020-03-22,1241702228249490432,0.202946127946128,0.06116822991822991,22,-0.0569,-0.0994,-0.0908,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AK,2020-03-23,1242027977211244288,0.2890637140637141,-0.049028749028749034,36,-0.0683,-0.11599999999999999,-0.157,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AK,2020-03-24,1242464443060528896,0.2095182595182596,0.06895881895881897,42,-0.0795,-0.129,-0.187,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AK,2020-03-25,1242738317838664960,0.3638137325637325,0.1140422077922078,59,-0.0905,-0.14300000000000002,-0.213,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK,2020-03-26,1243124860485911296,0.3356040564373897,0.17332451499118165,69,-0.10099999999999999,-0.153,-0.258,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
