state,date,covidCases
AL,2020-01-21,0
AK,2020-01-21,0
AZ,2020-01-21,0
AR,2020-01-21,0
CA,2020-01-21,0
CO,2020-01-21,0
CT,2020-01-21,0
DE,2020-01-21,0
DC,2020-01-21,0
FL,2020-01-21,0
GA,2020-01-21,0
HI,2020-01-21,0
ID,2020-01-21,0
IL,2020-01-21,0
IN,2020-01-21,0
IA,2020-01-21,0
KS,2020-01-21,0
KY,2020-01-21,0
LA,2020-01-21,0
ME,2020-01-21,0
MD,2020-01-21,0
MA,2020-01-21,0
MI,2020-01-21,0
MN,2020-01-21,0
MS,2020-01-21,0
MO,2020-01-21,0
MT,2020-01-21,0
NE,2020-01-21,0
NV,2020-01-21,0
NH,2020-01-21,0
NJ,2020-01-21,0
NM,2020-01-21,0
NY,2020-01-21,0
NC,2020-01-21,0
ND,2020-01-21,0
OH,2020-01-21,0
OK,2020-01-21,0
OR,2020-01-21,0
PA,2020-01-21,0
RI,2020-01-21,0
SC,2020-01-21,0
SD,2020-01-21,0
TN,2020-01-21,0
TX,2020-01-21,0
UT,2020-01-21,0
VT,2020-01-21,0
VA,2020-01-21,0
WA,2020-01-21,1
WV,2020-01-21,0
WI,2020-01-21,0
WY,2020-01-21,0
AL,2020-01-22,0
AK,2020-01-22,0
AZ,2020-01-22,0
AR,2020-01-22,0
CA,2020-01-22,0
CO,2020-01-22,0
CT,2020-01-22,0
DE,2020-01-22,0
DC,2020-01-22,0
FL,2020-01-22,0
GA,2020-01-22,0
HI,2020-01-22,0
ID,2020-01-22,0
IL,2020-01-22,0
IN,2020-01-22,0
IA,2020-01-22,0
KS,2020-01-22,0
KY,2020-01-22,0
LA,2020-01-22,0
ME,2020-01-22,0
MD,2020-01-22,0
MA,2020-01-22,0
MI,2020-01-22,0
MN,2020-01-22,0
MS,2020-01-22,0
MO,2020-01-22,0
MT,2020-01-22,0
NE,2020-01-22,0
NV,2020-01-22,0
NH,2020-01-22,0
NJ,2020-01-22,0
NM,2020-01-22,0
NY,2020-01-22,0
NC,2020-01-22,0
ND,2020-01-22,0
OH,2020-01-22,0
OK,2020-01-22,0
OR,2020-01-22,0
PA,2020-01-22,0
RI,2020-01-22,0
SC,2020-01-22,0
SD,2020-01-22,0
TN,2020-01-22,0
TX,2020-01-22,0
UT,2020-01-22,0
VT,2020-01-22,0
VA,2020-01-22,0
WA,2020-01-22,1
WV,2020-01-22,0
WI,2020-01-22,0
WY,2020-01-22,0
AL,2020-01-23,0
AK,2020-01-23,0
AZ,2020-01-23,0
AR,2020-01-23,0
CA,2020-01-23,0
CO,2020-01-23,0
CT,2020-01-23,0
