state,date,employment
AL,2020-01-14,-0.0035700000000000003
AK,2020-01-14,-0.00187
AZ,2020-01-14,-0.00412
AR,2020-01-14,-0.00476
CA,2020-01-14,-0.00598
CO,2020-01-14,-0.00433
CT,2020-01-14,-0.0022199999999999998
DE,2020-01-14,-0.00392
DC,2020-01-14,-0.00513
FL,2020-01-14,-0.00581
GA,2020-01-14,-0.00395
HI,2020-01-14,-0.00314
ID,2020-01-14,-0.0121
IL,2020-01-14,-0.00413
IN,2020-01-14,-0.0039700000000000004
IA,2020-01-14,-0.00511
KS,2020-01-14,0.00266
KY,2020-01-14,-0.00581
LA,2020-01-14,-0.00659
ME,2020-01-14,-0.0021899999999999997
MD,2020-01-14,-0.00309
MA,2020-01-14,-0.00187
MI,2020-01-14,-0.00474
MN,2020-01-14,-0.0019199999999999998
MS,2020-01-14,-0.0008119999999999999
MO,2020-01-14,-0.000655
MT,2020-01-14,-0.0033399999999999997
NE,2020-01-14,0.007359999999999999
NV,2020-01-14,-0.00436
NH,2020-01-14,-0.00202
NJ,2020-01-14,-0.0030600000000000002
NM,2020-01-14,-0.0117
NY,2020-01-14,-0.00396
NC,2020-01-14,-0.0016300000000000002
ND,2020-01-14,-0.009609999999999999
OH,2020-01-14,-0.00159
OK,2020-01-14,-0.0031899999999999997
OR,2020-01-14,-0.0038399999999999997
PA,2020-01-14,-0.0019199999999999998
RI,2020-01-14,-0.00268
SC,2020-01-14,-0.00251
SD,2020-01-14,0.00366
TN,2020-01-14,-0.00451
TX,2020-01-14,-0.00725
UT,2020-01-14,-0.00385
VT,2020-01-14,-0.000373
VA,2020-01-14,-0.000276
WA,2020-01-14,-0.00563
WV,2020-01-14,-0.0029100000000000003
WI,2020-01-14,-0.0026899999999999997
WY,2020-01-14,-0.00409
AL,2020-01-15,-0.00301
AK,2020-01-15,-0.0011
AZ,2020-01-15,-0.00345
AR,2020-01-15,-0.0058200000000000005
CA,2020-01-15,-0.0042
CO,2020-01-15,-0.00302
CT,2020-01-15,-0.00149
DE,2020-01-15,-0.0034700000000000004
DC,2020-01-15,-0.0037700000000000003
FL,2020-01-15,-0.0042
GA,2020-01-15,-0.00314
HI,2020-01-15,-0.0008960000000000001
ID,2020-01-15,-0.00975
IL,2020-01-15,-0.0031899999999999997
IN,2020-01-15,-0.00237
IA,2020-01-15,-0.00387
KS,2020-01-15,0.0031899999999999997
KY,2020-01-15,-0.00471
LA,2020-01-15,-0.0052899999999999996
ME,2020-01-15,-0.00137
MD,2020-01-15,-0.0025
MA,2020-01-15,-0.00101
MI,2020-01-15,-0.00322
MN,2020-01-15,-0.000889
MS,2020-01-15,-0.00036
MO,2020-01-15,-0.000252
MT,2020-01-15,-0.0016
NE,2020-01-15,0.006640000000000001
NV,2020-01-15,-0.0031100000000000004
NH,2020-01-15,-0.000982
NJ,2020-01-15,-0.00214
NM,2020-01-15,-0.00905
NY,2020-01-15,-0.00262
NC,2020-01-15,-0.00106
ND,2020-01-15,-0.00718
OH,2020-01-15,-0.00108
OK,2020-01-15,-0.00186
OR,2020-01-15,-0.00268
PA,2020-01-15,-0.00134
RI,2020-01-15,-0.00125
SC,2020-01-15,-0.00144
SD,2020-01-15,0.00624
TN,2020-01-15,-0.0035
TX,2020-01-15,-0.00588
UT,2020-01-15,-0.00235
VT,2020-01-15,-0.0005679999999999999
VA,2020-01-15,-0.000125
WA,2020-01-15,-0.0028899999999999998
WV,2020-01-15,-0.000985
WI,2020-01-15,-0.00165
WY,2020-01-15,-0.00225
AL,2020-01-16,-0.00245
AK,2020-01-16,-0.00042300000000000004
AZ,2020-01-16,-0.0028699999999999997
AR,2020-01-16,-0.0066099999999999996
CA,2020-01-16,-0.00259
CO,2020-01-16,-0.00175
CT,2020-01-16,-0.0008089999999999999
DE,2020-01-16,-0.00297
DC,2020-01-16,-0.00249
FL,2020-01-16,-0.00268
GA,2020-01-16,-0.00234
HI,2020-01-16,0.00124
ID,2020-01-16,-0.00734
IL,2020-01-16,-0.0023
IN,2020-01-16,-0.000874
IA,2020-01-16,-0.0025800000000000003
KS,2020-01-16,0.0035
KY,2020-01-16,-0.00361
LA,2020-01-16,-0.00403
ME,2020-01-16,-0.00065
MD,2020-01-16,-0.0019
MA,2020-01-16,-0.000234
MI,2020-01-16,-0.00175
MN,2020-01-16,3.32e-05
MS,2020-01-16,-4.42e-06
MO,2020-01-16,0.00011
MT,2020-01-16,-1.1e-05
NE,2020-01-16,0.00585
NV,2020-01-16,-0.00203
NH,2020-01-16,-9.22e-05
NJ,2020-01-16,-0.0012900000000000001
NM,2020-01-16,-0.0065
NY,2020-01-16,-0.0013800000000000002
NC,2020-01-16,-0.00053
ND,2020-01-16,-0.00458
OH,2020-01-16,-0.0006219999999999999
OK,2020-01-16,-0.000668
OR,2020-01-16,-0.0017100000000000001
PA,2020-01-16,-0.000802
RI,2020-01-16,4.1200000000000005e-05
SC,2020-01-16,-0.0004969999999999999
SD,2020-01-16,0.008409999999999999
TN,2020-01-16,-0.00248
TX,2020-01-16,-0.0045
UT,2020-01-16,-0.00098
VT,2020-01-16,-0.0007769999999999999
VA,2020-01-16,7.26e-06
WA,2020-01-16,-0.000479
WV,2020-01-16,0.000674
WI,2020-01-16,-0.000627
WY,2020-01-16,-0.000575
AL,2020-01-17,-0.00186
AK,2020-01-17,0.000218
AZ,2020-01-17,-0.00235
AR,2020-01-17,-0.00704
CA,2020-01-17,-0.00112
CO,2020-01-17,-0.000546
CT,2020-01-17,-0.00017900000000000001
DE,2020-01-17,-0.00236
DC,2020-01-17,-0.0012900000000000001
FL,2020-01-17,-0.0012699999999999999
GA,2020-01-17,-0.00155
HI,2020-01-17,0.00335
ID,2020-01-17,-0.00492
IL,2020-01-17,-0.00145
IN,2020-01-17,0.00045599999999999997
IA,2020-01-17,-0.00133
KS,2020-01-17,0.00359
KY,2020-01-17,-0.00253
LA,2020-01-17,-0.00277
ME,2020-01-17,-3.2500000000000004e-05
MD,2020-01-17,-0.0012699999999999999
MA,2020-01-17,0.000466
MI,2020-01-17,-0.00035099999999999997
MN,2020-01-17,0.000837
MS,2020-01-17,0.000475
MO,2020-01-17,0.00040300000000000004
MT,2020-01-17,0.0014
NE,2020-01-17,0.00496
NV,2020-01-17,-0.00107
NH,2020-01-17,0.000696
NJ,2020-01-17,-0.000487
NM,2020-01-17,-0.0041
NY,2020-01-17,-0.000239
NC,2020-01-17,-4.41e-05
ND,2020-01-17,-0.0019100000000000002
OH,2020-01-17,-0.00020299999999999997
OK,2020-01-17,0.000379
OR,2020-01-17,-0.000737
PA,2020-01-17,-0.000296
RI,2020-01-17,0.00115
SC,2020-01-17,0.000343
SD,2020-01-17,0.0102
TN,2020-01-17,-0.00149
TX,2020-01-17,-0.00314
UT,2020-01-17,0.000277
VT,2020-01-17,-0.0009130000000000001
VA,2020-01-17,0.000147
WA,2020-01-17,0.00156
WV,2020-01-17,0.00207
WI,2020-01-17,0.000343
WY,2020-01-17,0.001
AL,2020-01-18,-0.0012
AK,2020-01-18,0.000985
AZ,2020-01-18,-0.00183
AR,2020-01-18,-0.00698
CA,2020-01-18,0.00022
CO,2020-01-18,0.0005809999999999999
CT,2020-01-18,0.00041
DE,2020-01-18,-0.0017
DC,2020-01-18,-0.000176
FL,2020-01-18,5.3299999999999995e-05
GA,2020-01-18,-0.000789
HI,2020-01-18,0.005520000000000001
ID,2020-01-18,-0.0026
IL,2020-01-18,-0.000605
IN,2020-01-18,0.0016300000000000002
IA,2020-01-18,-0.000102
KS,2020-01-18,0.00349
KY,2020-01-18,-0.00149
LA,2020-01-18,-0.0015199999999999999
ME,2020-01-18,0.000505
MD,2020-01-18,-0.000614
MA,2020-01-18,0.00108
MI,2020-01-18,0.0009339999999999999
MN,2020-01-18,0.00151
MS,2020-01-18,0.0008619999999999999
MO,2020-01-18,0.000714
MT,2020-01-18,0.00268
NE,2020-01-18,0.00396
NV,2020-01-18,-0.00020899999999999998
NH,2020-01-18,0.00141
NJ,2020-01-18,0.000267
NM,2020-01-18,-0.00176
NY,2020-01-18,0.0008
NC,2020-01-18,0.000453
ND,2020-01-18,0.000759
OH,2020-01-18,0.00018999999999999998
OK,2020-01-18,0.00126
OR,2020-01-18,0.00025499999999999996
PA,2020-01-18,0.00017900000000000001
RI,2020-01-18,0.0021
SC,2020-01-18,0.0011
SD,2020-01-18,0.0113
TN,2020-01-18,-0.000484
TX,2020-01-18,-0.00173
UT,2020-01-18,0.00137
VT,2020-01-18,-0.000923
VA,2020-01-18,0.000293
WA,2020-01-18,0.00323
WV,2020-01-18,0.00331
WI,2020-01-18,0.00124
WY,2020-01-18,0.00242
AL,2020-01-19,-0.000489
