state,date,outside
AL,2020-02-24,-0.00798
AK,2020-02-24,-0.0005780000000000001
AZ,2020-02-24,-0.007509999999999999
AR,2020-02-24,-0.00301
CA,2020-02-24,-0.0025
CO,2020-02-24,-0.009309999999999999
CT,2020-02-24,0.00235
DE,2020-02-24,0.0085
DC,2020-02-24,-0.00492
FL,2020-02-24,-0.0013800000000000002
GA,2020-02-24,-0.007809999999999999
HI,2020-02-24,-0.00049
ID,2020-02-24,0.0102
IL,2020-02-24,0.0122
IN,2020-02-24,0.00761
IA,2020-02-24,0.0135
KS,2020-02-24,0.0068200000000000005
KY,2020-02-24,0.00314
LA,2020-02-24,0.00143
ME,2020-02-24,-0.008879999999999999
MD,2020-02-24,0.00792
MA,2020-02-24,-0.0073
MI,2020-02-24,0.00665
MN,2020-02-24,0.00718
MS,2020-02-24,-0.00659
MO,2020-02-24,0.0122
MT,2020-02-24,0.00532
NE,2020-02-24,0.00626
NV,2020-02-24,0.00040199999999999996
NH,2020-02-24,-0.000543
NJ,2020-02-24,0.00263
NM,2020-02-24,0.00156
NY,2020-02-24,-0.009000000000000001
NC,2020-02-24,-0.0225
ND,2020-02-24,0.00783
OH,2020-02-24,0.006220000000000001
OK,2020-02-24,-0.003
OR,2020-02-24,0.0111
PA,2020-02-24,0.00403
RI,2020-02-24,-0.00288
SC,2020-02-24,-0.0078
SD,2020-02-24,0.0050100000000000006
TN,2020-02-24,-0.00105
TX,2020-02-24,0.000851
UT,2020-02-24,0.0042899999999999995
VT,2020-02-24,-0.00198
VA,2020-02-24,-0.00161
WA,2020-02-24,0.00718
WV,2020-02-24,0.0008990000000000001
WI,2020-02-24,0.00944
WY,2020-02-24,0.0008119999999999999
AL,2020-02-25,-0.00519
AK,2020-02-25,0.00221
AZ,2020-02-25,-0.007509999999999999
AR,2020-02-25,-0.00162
CA,2020-02-25,-0.0011099999999999999
CO,2020-02-25,-0.006520000000000001
CT,2020-02-25,0.006529999999999999
DE,2020-02-25,0.00571
DC,2020-02-25,-0.00352
FL,2020-02-25,-0.0013800000000000002
GA,2020-02-25,-0.0036299999999999995
HI,2020-02-25,-0.00049
ID,2020-02-25,0.0116
IL,2020-02-25,0.0108
IN,2020-02-25,0.00761
IA,2020-02-25,0.0121
KS,2020-02-25,0.00542
KY,2020-02-25,0.004529999999999999
LA,2020-02-25,-0.00554
ME,2020-02-25,-0.0019
MD,2020-02-25,0.00792
MA,2020-02-25,-0.00312
MI,2020-02-25,0.00944
MN,2020-02-25,0.00857
MS,2020-02-25,-0.00519
MO,2020-02-25,0.0122
MT,2020-02-25,0.00532
NE,2020-02-25,0.00487
NV,2020-02-25,-0.000993
NH,2020-02-25,0.00225
