state,schools_closed,nonessential_biz_closed,stayathome_start
AL,2020-03-19,2020-03-28,2020-04-04
AK,2020-03-16,2020-03-28,2020-03-28
AZ,2020-03-16,,2020-03-31
AR,2020-03-17,,
CA,2020-03-19,2020-03-19,2020-03-19
CO,2020-03-23,2020-03-26,2020-03-26
CT,2020-03-17,2020-03-23,2020-03-23
DE,2020-03-16,2020-03-24,2020-03-24
DC,2020-03-16,2020-03-25,2020-04-01
FL,2020-03-16,,2020-04-03
GA,2020-03-18,,2020-04-03
HI,2020-03-16,2020-03-25,2020-03-25
ID,2020-03-23,2020-03-25,2020-03-25
IL,2020-03-17,2020-03-21,2020-03-21
IN,2020-03-19,2020-03-24,2020-03-24
IA,2020-03-15,2020-03-17,
KS,2020-03-18,,2020-03-30
KY,2020-03-16,2020-03-26,2020-03-26
LA,2020-03-16,2020-03-22,2020-03-23
ME,2020-03-31,2020-03-25,2020-04-02
MD,2020-03-16,2020-03-23,2020-03-30
MA,2020-03-17,2020-03-24,2020-03-24
MI,2020-03-16,2020-03-23,2020-03-24
MN,2020-03-16,,2020-03-27
MS,2020-03-16,2020-04-03,2020-04-03
MO,2020-03-20,,2020-04-06
MT,2020-03-16,2020-03-26,2020-03-28
NE,2020-03-23,,
NV,2020-03-16,2020-03-21,2020-04-01
NH,2020-03-16,2020-03-28,2020-03-27
NJ,2020-03-18,2020-03-21,2020-03-21
NM,2020-03-16,2020-03-24,2020-03-24
NY,2020-03-18,2020-03-22,2020-03-22
NC,2020-03-16,2020-03-30,2020-03-30
ND,2020-03-16,,
OH,2020-03-17,2020-03-23,2020-03-23
OK,2020-03-17,2020-04-01,
OR,2020-03-16,,2020-03-23
PA,2020-03-16,2020-03-23,2020-04-01
RI,2020-03-16,,2020-03-28
SC,2020-03-16,,2020-04-07
SD,2020-03-16,,
TN,2020-03-20,2020-04-01,2020-03-31
TX,2020-03-21,,2020-04-02
UT,2020-03-16,,
VT,2020-03-18,2020-03-25,2020-03-25
VA,2020-03-16,2020-03-24,2020-03-30
WA,2020-03-16,2020-03-25,2020-03-23
WV,2020-03-16,2020-03-24,2020-03-24
WI,2020-03-16,2020-03-25,2020-03-25
WY,2020-03-20,,
