,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
2,1005.0,4871.0,5454.0,0.0,7.552777777777781,0.318910068997778,2016,0.28482048883171557,18.1666666666667,13.473611111111135,4.693055555555565,-7.552777777777781,True,False,True
2,1005.0,5912.0,5550.0,7.552777777777781,7.552777777777781,0.48223129724563385,2012,0.5136849422191329,13.473611111111135,13.473611111111135,0.0,0.0,False,True,True
3,1007.0,1874.0,6738.0,0.0,1.95,0.4987416728349371,2016,0.1387120651369356,16.95,10.566666666666684,6.383333333333315,-1.95,True,False,True
3,1007.0,2202.0,6132.0,1.95,1.95,0.7282660332541567,2012,0.261520190023753,10.566666666666684,10.566666666666684,0.0,0.0,False,True,True
4,1009.0,2156.0,22859.0,0.0,2.13095238095238,0.6060501617264966,2016,0.057161037170581686,17.25,11.675,5.574999999999999,-2.13095238095238,True,False,True
4,1009.0,2970.0,20757.0,2.13095238095238,2.13095238095238,0.8646588352911772,2012,0.12371907023244189,11.675,11.675,0.0,0.0,False,True,True
5,1011.0,3530.0,1140.0,0.0,3.6083333333333303,0.15355603448275862,2016,0.4754849137931034,13.049999999999999,11.858333333333348,1.1916666666666504,-3.6083333333333303,True,False,True
5,1011.0,4061.0,1251.0,3.6083333333333303,3.6083333333333303,0.2350620067643743,2012,0.7630590003757985,11.858333333333348,11.858333333333348,0.0,0.0,False,True,True
6,1013.0,3726.0,4901.0,0.0,4.525,0.35501629844259325,2016,0.2699022093444404,19.15,11.799999999999986,7.350000000000012,-4.525,True,False,True
6,1013.0,4374.0,5087.0,4.525,4.525,0.5356992417860151,2012,0.4606149957877001,11.799999999999986,11.799999999999986,0.0,0.0,False,True,True
7,1015.0,13242.0,32865.0,0.0,1.82638888888889,0.44153802748780785,2016,0.1779049615090081,15.3,11.158333333333315,4.141666666666685,-1.82638888888889,True,False,True
7,1015.0,15511.0,30278.0,1.82638888888889,1.82638888888889,0.6545603908597618,2012,0.33532222150161056,11.158333333333315,11.158333333333315,0.0,0.0,False,True,True
8,1017.0,6871.0,7626.0,0.966666666666667,0.966666666666667,0.5219355280268291,2012,0.4702621312709602,11.179166666666665,11.179166666666665,0.0,0.0,False,True,True
8,1017.0,5784.0,7843.0,0.0,0.966666666666667,0.3265195670274771,2016,0.2407993338884263,15.0,11.179166666666665,3.8208333333333346,-0.966666666666667,True,False,True
9,1019.0,2132.0,7506.0,1.42,1.42,0.7675631455159014,2012,0.21801820227017077,8.94,8.94,0.0,0.0,False,True,True
10,1021.0,2911.0,15081.0,0.0,1.95,0.5276951607823926,2016,0.10185800762797859,15.575000000000001,10.95833333333334,4.616666666666662,-1.95,True,False,True
10,1021.0,3397.0,13932.0,1.95,1.95,0.7978467529492612,2012,0.19453670828083838,10.95833333333334,10.95833333333334,0.0,0.0,False,True,True
12,1025.0,6334.0,7470.0,3.7083333333333304,3.7083333333333304,0.539311241065627,2012,0.4572955021298101,12.37916666666668,12.37916666666668,0.0,0.0,False,True,True
12,1025.0,5749.0,7140.0,0.0,3.7083333333333304,0.3680412371134021,2016,0.296340206185567,19.15,12.37916666666668,6.770833333333318,-3.7083333333333304,True,False,True
13,1027.0,1777.0,4817.0,0.0,0.0,0.7230561392975082,2012,0.26673671570099067,10.66666666666665,10.66666666666665,0.0,0.0,False,False,False
14,1029.0,684.0,5764.0,0.0,1.5666666666666698,0.5314891655140618,2016,0.06307053941908713,13.600000000000001,10.629166666666665,2.9708333333333368,-1.5666666666666698,True,False,True
